email,password,password_confirmation,admin,employee_status_id,f_name,l_name,phone
JeffSchott@gmail.com,Password1!,Password1!,FALSE,2,Jeff,Schott,567-345-9964
AlekSchott@gmail.com,Password1!,Password1!,FALSE,2,Alek,Schott,559-822-3456
EricAhola@gmail.com,Password1!,Password1!,FALSE,2,Eric,Ahola,234-567-2367
KarenDeLaVaas@gmail.com,Password1!,Password1!,FALSE,1,Karen,DeLaVaas,234-567-2341
JeffMann@gmail.com,Password1!,Password1!,FALSE,2,Jeff,Mann,567-345-9977
JeffKash@gmail.com,Password1!,Password1!,FALSE,1,Jeff,Kash,567-345-9966
TravisVeron@gmail.com,Password1!,Password1!,FALSE,1,Travis,Veron,999-993-2323
LibbyCharles@gmail.com,Password1!,Password1!,FALSE,1,Libby,Charles,234-567-2345
CarlWeezy@gmail.com,Password1!,Password1!,FALSE,2,Carl,Weezy,432-655-1235
SheenTroy@gmail.com,Password1!,Password1!,FALSE,2,Sheen,Troy,312-543-1236
JamesNeutron@gmail.com,Password1!,Password1!,FALSE,2,James,Neutron,641-453-5432
