state_id,vendor_status_id,vendor_name,contact_name,job_title,work_phone,mobile,fax,vendor_email,vendor_cc_email,website,street_address_1,street_address_2,city,zip_code
34,3,Quotes Suppliers,Cleotilde Gauna,Sales Consultant,958-656-0896,745-944-2401,,CleotildeGauna@hotmail.com,,www.QuotesSuppliers.com,7358 Merry Butterfly Meadow,,Houston,86346
32,3,Savers Suppliers,Jerri Convery,Sales Consultant,443-624-1711,742-563-8359,,JerriConvery@hotmail.com,,www.SaversSuppliers.com,3341 Iron Cider Isle,,New Orleans,79799
33,4,Forrest Suppliers,Lou Mcelhannon,Sales Consultant,192-904-3012,386-525-1506,,LouMcelhannon@hotmail.com,,www.ForrestSuppliers.com,492 Emerald Leaf Hollow,,Tulsa,72608
34,3,Drop Suppliers,Vesta Kaelin,Sales Consultant,140-788-1376,331-145-7036,,VestaKaelin@hotmail.com,,www.DropSuppliers.com,7114 Burning Shadow Lookout,,Houston,98190
32,3,Lasso Irons,Ellamae Farrand,Sales Consultant,532-920-6267,311-890-5515,,EllamaeFarrand@hotmail.com,,www.LassoIrons.com,6035 Middle Treasure Moor,,New Orleans,92675
34,3,Aggie Metalics,Alysa Nevins,Sales Consultant,404-553-9360,937-642-6384,,AlysaNevins@hotmail.com,,www.AggieMetalics.com,8318 Foggy Dell,,Houston,31682
32,1,Registry Irons,Mohammed Pesce,Sales Consultant,687-740-4019,452-198-0810,,MohammedPesce@hotmail.com,,www.RegistryIrons.com,2349 Sleepy Elk Pike,,New Orleans,64612
34,3,Widget Manufactures,Jeanett Makuch,Sales Consultant,562-675-8597,671-453-5385,,JeanettMakuch@hotmail.com,,www.WidgetManufactures.com,5947 Shady Orchard,,Dallas,65811
32,3,Galileo Irons,Guadalupe Broaddus,Sales Consultant,870-603-6828,419-267-1544,,GuadalupeBroaddus@hotmail.com,,www.GalileoIrons.com,9881 Lost Sky Parkway,,New Orleans,30608
32,3,Reporter Suppliers,Vennie Kuykendall,Sales Consultant,636-807-2635,244-680-9797,,VennieKuykendall@hotmail.com,,www.ReporterSuppliers.com,5558 Hidden Downs,,Lafayette,79689
32,3,NorthField Manufactures,Jacquelyn Willaims,Sales Consultant,150-520-7033,407-156-5020,,JacquelynWillaims@hotmail.com,,www.NorthFieldManufactures.com,1068 Heather Private,,Shreveport,54855
32,3,Seismic Irons,Sanora Segovia,Sales Consultant,310-678-5754,933-618-4825,,SanoraSegovia@hotmail.com,,www.SeismicIrons.com,8539 Old Run,,Baton Rouge,25566
33,4,Coyote Irons,Carri Fein,Sales Consultant,301-393-4517,498-715-3249,,CarriFein@hotmail.com,,www.CoyoteIrons.com,65 Cotton Fox Trail,,Tulsa,86749
34,4,Cougar Metalics,Claretta Sandor,Sales Consultant,257-490-2511,412-719-3035,,ClarettaSandor@hotmail.com,,www.CougarMetalics.com,9661 Silent Wood,,Fort Worth,52920
31,4,List Suppliers,Carl Viverette,Sales Consultant,262-651-6688,598-834-4612,,CarlViverette@hotmail.com,,www.ListSuppliers.com,9580 Pleasant Ledge,,Little Rock,86749
31,1,Prince Manufactures,Angel Wadlow,Sales Consultant,138-536-5778,749-126-0022,,AngelWadlow@hotmail.com,,www.PrinceManufactures.com,5550 Velvet Zephyr Limits,,Fayetteville,12705
31,4,Sharp Suppliers,Kym Nutter,Sales Consultant,506-664-0469,192-182-6007,,KymNutter@hotmail.com,,www.SharpSuppliers.com,3970 Hazy Mountain,,Fort Smith,64612
31,3,QuantumLeap Suppliers,Lindsey Cron,Sales Consultant,310-457-1315,398-516-3546,,LindseyCron@hotmail.com,,www.QuantumLeapSuppliers.com,5645 Fallen Pony Expressway,,Fort Smith,31682
32,4,PeaceLove Suppliers,Samual Mcgowen,Sales Consultant,461-579-5526,907-934-1781,,SamualMcgowen@hotmail.com,,www.PeaceLoveSuppliers.com,3645 Umber Pointe,,New Orleans,70194
34,4,Flare Suppliers,Dirk Moorehead,Sales Consultant,915-916-2634,272-407-2262,,DirkMoorehead@hotmail.com,,www.FlareSuppliers.com,8360 Noble Embers Maze,,Dallas,51116
32,3,Daystar Suppliers,Rafael Belknap,Sales Consultant,560-738-6683,693-147-3680,,RafaelBelknap@hotmail.com,,www.DaystarSuppliers.com,1819 Silver Deer Beach,,Shreveport,18149
34,4,Request Irons,Sumiko Rutt,Sales Consultant,532-356-4628,290-569-8540,,SumikoRutt@hotmail.com,,www.RequestIrons.com,1129 Cinder Route,,Houston,79799
32,4,Urgent Manufactures,Osvaldo Dewitt,Sales Consultant,357-852-4507,210-998-1692,,OsvaldoDewitt@hotmail.com,,www.UrgentManufactures.com,6823 Easy Beacon Street,,New Orleans,14659
34,4,Longhorn Metalics,Fleta Prins,Sales Consultant,239-626-6807,343-334-0954,,FletaPrins@hotmail.com,,www.LonghornMetalics.com,5605 Green Grove,,Houston,61141
32,4,Links Suppliers,Teddy Betters,Sales Consultant,788-404-4184,526-436-2944,,TeddyBetters@hotmail.com,,www.LinksSuppliers.com,6608 Broad Pathway,,Baton Rouge,68749
